Field=#~Integer~#~50|Field=Line #~String~Line #~71|Field=Name~String~Name~129|Field=Description~String~Description~99|Field=Designator~String~Designator~131|Field=Quantity~Integer~Quantity~84|Field=Manufacturer 1~String~Manufacturer 1~119|Field=Manufacturer Part Number 1~String~Manufacturer Part Number 1~186|Field=Manufacturer Lifecycle 1~String~Manufacturer Lifecycle 1~164|Field=Supplier 1~String~Supplier 1~92|Field=Supplier Part Number 1~String~Supplier Part Number 1~159|Field=Supplier Unit Price 1~Float~Supplier Unit Price 1~144|Field=Supplier Subtotal 1~Float~Supplier Subtotal 1~139|ReportField=Currency~<none>|ReportField=ProductionQuantity~1|ReportField=ProjectFileName~BatteryBoard.PrjPcb|ReportField=ProjectFullPath~C:\Users\TharunS\Desktop\AlbertaSat\projects\Battery Board\Altium\BatteryBoard.PrjPcb|ReportField=Title~Bill of Materials For BOM Document [BatteryBoard.BomDoc]|ReportField=ReportTime~6:44:20 PM|ReportField=ReportDate~3/27/2019|ReportField=ReportDateTime~3/27/2019 6:44:20 PM|ReportField=OutputName~Bill of Materials|ReportField=OutputType~BOM_PartType|ReportField=GeneratorName~BOM|ReportField=GeneratorDescription~Bill of Materials|ReportField=VariantName~None|ReportField=TotalQuantity~50|ReportField=TotalActualPrice~87.86|ReportField=TotalTargetPrice~0|ReportField=VersionControl_RevNumber~|ReportField=VersionControl_ProjFolderRevNumber~|ReportField=Address1~|ReportField=Address2~|ReportField=Address3~|ReportField=Address4~|ReportField=Application_BuildNumber~|ReportField=ApprovedBy~|ReportField=Author~|ReportField=CheckedBy~|ReportField=CompanyName~|ReportField=CurrentDate~3/27/2019|ReportField=CurrentTime~6:43:58 PM|ReportField=Date~|ReportField=DocumentFullPathAndName~C:\Users\TharunS\Desktop\AlbertaSat\projects\Battery Board\Altium\Prometheus.SchDoc|ReportField=DocumentName~Prometheus.SchDoc|ReportField=DocumentNumber~|ReportField=DrawnBy~|ReportField=Engineer~|ReportField=ImagePath~|ReportField=ModifiedDate~3/27/2019|ReportField=Organization~|ReportField=ProjectName~BatteryBoard.PrjPcb|ReportField=Revision~|ReportField=Rule~|ReportField=SheetNumber~|ReportField=SheetTotal~2|ReportField=Time~|ReportField=Title~|ReportField=DataSourceFileName~BatteryBoard.BomDoc|ReportField=DataSourceFullPath~C:\Users\TharunS\Desktop\AlbertaSat\projects\Battery Board\Altium\BatteryBoard.BomDoc|ReportField=PCBConfigurationName~Sources|ReportField=Item~|ReportField=ItemRevision~|ReportField=ItemAndRevision~|ReportField=ItemRevisionBase~|ReportField=ItemRevisionLevel1~|ReportField=ItemRevisionLevel2~|ReportField=ItemRevisionLevel1AndBase~|ReportField=ItemRevisionLevel2AndLevel1~
1||54|BATTERY CLIP 18MM 18650 CELL|BT1, BT2, BT3, BT4|4|{URL}https:%2F%2Foctopart-clicks.com%2Fclick%2Faltium%3Fmanufacturer%3DKeystone%2520Electronics%26mpn%3D54%26seller%3DDigi-Key%26sku%3D36-54-ND%26country%3DUS%26channel%3DBOM%2520Report%26{URL.TEXT}Keystone%20Electronics{URL.TIP}Component|{URL}https:%2F%2Foctopart-clicks.com%2Fclick%2Faltium%3Fmanufacturer%3DKeystone%2520Electronics%26mpn%3D54%26seller%3DDigi-Key%26sku%3D36-54-ND%26country%3DUS%26channel%3DBOM%2520Report%26ref%3Dman%26{URL.TEXT}54{URL.TIP}Manufacturer|Unknown|Digi-Key|{URL}https:%2F%2Foctopart-clicks.com%2Fclick%2Faltium%3Fmanufacturer%3DKeystone%2520Electronics%26mpn%3D54%26seller%3DDigi-Key%26sku%3D36-54-ND%26country%3DUS%26channel%3DBOM%2520Report%26ref%3Dsupplier%26{URL.TEXT}36-54-ND{URL.TIP}Supplier|0.76426|3.06
2||Cap|CAP CER 47UF 6.3V X7S 1210|C1|1|{URL}https:%2F%2Foctopart-clicks.com%2Fclick%2Faltium%3Fmanufacturer%3DTDK%26mpn%3DCGA6P1X7S0J476M250AC%26seller%3DDigi-Key%26sku%3D445-13045-1-ND%26country%3DUS%26channel%3DBOM%2520Report%26{URL.TEXT}TDK{URL.TIP}Component|{URL}https:%2F%2Foctopart-clicks.com%2Fclick%2Faltium%3Fmanufacturer%3DTDK%26mpn%3DCGA6P1X7S0J476M250AC%26seller%3DDigi-Key%26sku%3D445-13045-1-ND%26country%3DUS%26channel%3DBOM%2520Report%26ref%3Dman%26{URL.TEXT}CGA6P1X7S0J476M250AC{URL.TIP}Manufacturer|Volume Production|Digi-Key|{URL}https:%2F%2Foctopart-clicks.com%2Fclick%2Faltium%3Fmanufacturer%3DTDK%26mpn%3DCGA6P1X7S0J476M250AC%26seller%3DDigi-Key%26sku%3D445-13045-1-ND%26country%3DUS%26channel%3DBOM%2520Report%26ref%3Dsupplier%26{URL.TEXT}445-13045-1-ND{URL.TIP}Supplier|1.56|1.56
3||Cap|CAP CER 0.1UF 50V X7R 0402|C2, C3, C4|3|{URL}https:%2F%2Foctopart-clicks.com%2Fclick%2Faltium%3Fmanufacturer%3DTDK%26mpn%3DCGA2B3X7R1H104M050BB%26seller%3DDigi-Key%26sku%3D445-12271-1-ND%26country%3DUS%26channel%3DBOM%2520Report%26{URL.TEXT}TDK{URL.TIP}Component|{URL}https:%2F%2Foctopart-clicks.com%2Fclick%2Faltium%3Fmanufacturer%3DTDK%26mpn%3DCGA2B3X7R1H104M050BB%26seller%3DDigi-Key%26sku%3D445-12271-1-ND%26country%3DUS%26channel%3DBOM%2520Report%26ref%3Dman%26{URL.TEXT}CGA2B3X7R1H104M050BB{URL.TIP}Manufacturer|Volume Production|Digi-Key|{URL}https:%2F%2Foctopart-clicks.com%2Fclick%2Faltium%3Fmanufacturer%3DTDK%26mpn%3DCGA2B3X7R1H104M050BB%26seller%3DDigi-Key%26sku%3D445-12271-1-ND%26country%3DUS%26channel%3DBOM%2520Report%26ref%3Dsupplier%26{URL.TEXT}445-12271-1-ND{URL.TIP}Supplier|0.25475|0.76426
4||Cap|CAP CER 0.1UF 50V NP0 1206|C5, C6|2|{URL}https:%2F%2Foctopart-clicks.com%2Fclick%2Faltium%3Fmanufacturer%3DTDK%26mpn%3DCGA5L2NP01H104J160AA%26seller%3DDigi-Key%26sku%3D445-12839-1-ND%26country%3DUS%26channel%3DBOM%2520Report%26{URL.TEXT}TDK{URL.TIP}Component|{URL}https:%2F%2Foctopart-clicks.com%2Fclick%2Faltium%3Fmanufacturer%3DTDK%26mpn%3DCGA5L2NP01H104J160AA%26seller%3DDigi-Key%26sku%3D445-12839-1-ND%26country%3DUS%26channel%3DBOM%2520Report%26ref%3Dman%26{URL.TEXT}CGA5L2NP01H104J160AA{URL.TIP}Manufacturer|Volume Production|Digi-Key|{URL}https:%2F%2Foctopart-clicks.com%2Fclick%2Faltium%3Fmanufacturer%3DTDK%26mpn%3DCGA5L2NP01H104J160AA%26seller%3DDigi-Key%26sku%3D445-12839-1-ND%26country%3DUS%26channel%3DBOM%2520Report%26ref%3Dsupplier%26{URL.TEXT}445-12839-1-ND{URL.TIP}Supplier|1.02|2.04
5||SSW-126-23-G-D||H1, H2|2|{URL}https:%2F%2Foctopart-clicks.com%2Fclick%2Faltium%3Fmanufacturer%3DSamtec%26mpn%3DSSW-126-23-G-D%26seller%3DSamtec%26sku%3DSSW-126-23-G-D%26country%3DUS%26channel%3DBOM%2520Report%26{URL.TEXT}Samtec{URL.TIP}Component|{URL}https:%2F%2Foctopart-clicks.com%2Fclick%2Faltium%3Fmanufacturer%3DSamtec%26mpn%3DSSW-126-23-G-D%26seller%3DSamtec%26sku%3DSSW-126-23-G-D%26country%3DUS%26channel%3DBOM%2520Report%26ref%3Dman%26{URL.TEXT}SSW-126-23-G-D{URL.TIP}Manufacturer|Volume Production|Samtec|{URL}https:%2F%2Foctopart-clicks.com%2Fclick%2Faltium%3Fmanufacturer%3DSamtec%26mpn%3DSSW-126-23-G-D%26seller%3DSamtec%26sku%3DSSW-126-23-G-D%26country%3DUS%26channel%3DBOM%2520Report%26ref%3Dsupplier%26{URL.TEXT}SSW-126-23-G-D{URL.TIP}Supplier||
6||Header 4X2|Header, 4-Pin, Dual row|P1|1|{URL}{URL.TEXT}{URL.TIP}Component|{URL}{URL.TEXT}{URL.TIP}Manufacturer|||{URL}{URL.TEXT}{URL.TIP}Supplier||
7||M80-5000000M5|CONN HDR MIX-TEK 2POS|P2|1|{URL}https:%2F%2Foctopart-clicks.com%2Fclick%2Faltium%3Fmanufacturer%3DHarwin%26mpn%3DM80-5000000M5-02-PM3-00-000%26seller%3DDigi-Key%26sku%3D952-2908-ND%26country%3DUS%26channel%3DBOM%2520Report%26{URL.TEXT}Harwin{URL.TIP}Component|{URL}https:%2F%2Foctopart-clicks.com%2Fclick%2Faltium%3Fmanufacturer%3DHarwin%26mpn%3DM80-5000000M5-02-PM3-00-000%26seller%3DDigi-Key%26sku%3D952-2908-ND%26country%3DUS%26channel%3DBOM%2520Report%26ref%3Dman%26{URL.TEXT}M80-5000000M5-02-PM3-00-000{URL.TIP}Manufacturer|Volume Production|Digi-Key|{URL}https:%2F%2Foctopart-clicks.com%2Fclick%2Faltium%3Fmanufacturer%3DHarwin%26mpn%3DM80-5000000M5-02-PM3-00-000%26seller%3DDigi-Key%26sku%3D952-2908-ND%26country%3DUS%26channel%3DBOM%2520Report%26ref%3Dsupplier%26{URL.TEXT}952-2908-ND{URL.TIP}Supplier|44.01|44.01
8||MOLX-090147-1104|C-GRID PCB CONN SR VT TIN 4POS|P3, P4|2|{URL}https:%2F%2Foctopart-clicks.com%2Fclick%2Faltium%3Fmanufacturer%3DMolex%26mpn%3D90147-1104%26seller%3DDigi-Key%26sku%3DWM14831-ND%26country%3DUS%26channel%3DBOM%2520Report%26{URL.TEXT}Molex{URL.TIP}Component|{URL}https:%2F%2Foctopart-clicks.com%2Fclick%2Faltium%3Fmanufacturer%3DMolex%26mpn%3D90147-1104%26seller%3DDigi-Key%26sku%3DWM14831-ND%26country%3DUS%26channel%3DBOM%2520Report%26ref%3Dman%26{URL.TEXT}90147-1104{URL.TIP}Manufacturer|Volume Production|Digi-Key|{URL}https:%2F%2Foctopart-clicks.com%2Fclick%2Faltium%3Fmanufacturer%3DMolex%26mpn%3D90147-1104%26seller%3DDigi-Key%26sku%3DWM14831-ND%26country%3DUS%26channel%3DBOM%2520Report%26ref%3Dsupplier%26{URL.TEXT}WM14831-ND{URL.TIP}Supplier|1.66|3.33
9||Ground Charge Header|Connector Header Through Hole 6 position 0.049" (1.25mm)|P5|1|{URL}https:%2F%2Foctopart-clicks.com%2Fclick%2Faltium%3Fmanufacturer%3DHarwin%26mpn%3DG125-MV10605L1P%26seller%3DDigi-Key%26sku%3D952-2807-ND%26country%3DUS%26channel%3DBOM%2520Report%26{URL.TEXT}Harwin{URL.TIP}Component|{URL}https:%2F%2Foctopart-clicks.com%2Fclick%2Faltium%3Fmanufacturer%3DHarwin%26mpn%3DG125-MV10605L1P%26seller%3DDigi-Key%26sku%3D952-2807-ND%26country%3DUS%26channel%3DBOM%2520Report%26ref%3Dman%26{URL.TEXT}G125-MV10605L1P{URL.TIP}Manufacturer|Volume Production|Digi-Key|{URL}https:%2F%2Foctopart-clicks.com%2Fclick%2Faltium%3Fmanufacturer%3DHarwin%26mpn%3DG125-MV10605L1P%26seller%3DDigi-Key%26sku%3D952-2807-ND%26country%3DUS%26channel%3DBOM%2520Report%26ref%3Dsupplier%26{URL.TEXT}952-2807-ND{URL.TIP}Supplier|5.66|5.66
10||AOD508|MOSFET N-CH 30V 22A TO252|Q1, Q2, Q3, Q4|4|{URL}https:%2F%2Foctopart-clicks.com%2Fclick%2Faltium%3Fmanufacturer%3DAlpha%2520%2526%2520Omega%2520Semiconductor%26mpn%3DAOD508%26seller%3DDigi-Key%26sku%3D785-1355-1-ND%26country%3DUS%26channel%3DBOM%2520Report%26{URL.TEXT}Alpha%20%26%20Omega%20Semiconductor{URL.TIP}Component|{URL}https:%2F%2Foctopart-clicks.com%2Fclick%2Faltium%3Fmanufacturer%3DAlpha%2520%2526%2520Omega%2520Semiconductor%26mpn%3DAOD508%26seller%3DDigi-Key%26sku%3D785-1355-1-ND%26country%3DUS%26channel%3DBOM%2520Report%26ref%3Dman%26{URL.TEXT}AOD508{URL.TIP}Manufacturer|Volume Production|Digi-Key|{URL}https:%2F%2Foctopart-clicks.com%2Fclick%2Faltium%3Fmanufacturer%3DAlpha%2520%2526%2520Omega%2520Semiconductor%26mpn%3DAOD508%26seller%3DDigi-Key%26sku%3D785-1355-1-ND%26country%3DUS%26channel%3DBOM%2520Report%26ref%3Dsupplier%26{URL.TEXT}785-1355-1-ND{URL.TIP}Supplier|1.05|4.18
